Record,Sample Date,Sample Year,Sample Time (local),Sample Location,Sample Lat/Long - Latitude,Sample Lat/Long - Longitude,Water Temperature (approximate),Sampling Platform,Continent,Country,Sample waters,"Sample location (Urban, Rural, Remote)",Notes,"Depth of Water Body (approximate, FW only)",Exposed rocks present in sampling area? (FW only),Substrate Type (FW only),Lab Fields,Sample Volume (L),Number of Filters,Sediment Load,Blue–Round,Blue–Round < 1.5 mm new,Blue–Round 1.6-3.1 mm,Blue–Round 3.2-5 mm,Blue–Round 5.1-9.6 mm,Blue–Filament,Blue–Filament  < 1.5 mm new,Blue–Filament 1.6-3.1 mm ,Blue–Filament 3.2-5 mm,Blue–Filament 5.1-9.6 mm,Blue–Other Shape,Blue–Other Shape  < 1.5 mm new,Blue–Other Shape  1.6-3.1 mm,Blue–Other Shape 3.2-5 mm,Blue–Other Shape 5.1-9.6 mm,Red–Round,Red–Round  < 1.5 mm new,Red–Round  1.6-3.1 mm ,Red–Round 3.2-5 mm,Red–Round 5.1-9.6 mm,Red–Filament,Red–Filament  < 1.5 mm new,Red–Filament 1.6-3.1 mm ,Red–Filament 3.2-5 mm,Red–Filament 5.1-9.6 mm,Red–Other Shape,Red–Other Shape  < 1.5 mm new,Red–Other Shape 1.6-3.1 mm ,Red–Other Shape 3.2-5 mm,Red–Other Shape 5.1-9.6 mm,Transparent–Round,Transparent–Round  < 1.5 mm new,Transparent–Round 1.6-3.1 mm,Transparent–Round 3.2-5 mm,Transparent–Round 5.1-9.6 mm,Transparent–Filament,Transparent–Filament  < 1.5 mm new,Transparent–Filament  1.6-3.1 mm,Transparent–Filament 3.2-5 mm,Transparent–Filament 5.1-9.6 mm,Transparent–Other Shape,Transparent–Other Shape  < 1.5 mm new,Transparent–Other Shape  1.6-3.1 mm,Transparent–Other Shape 3.2-5 mm,Transparent–Other Shape 5.1-9.6 mm,Black–Round,Black–Round  < 1.5 mm new,Black–Round  1.6-3.1 mm,Black–Round 3.2-5 mm,Black–Round 5.1-9.6 mm,Black–Filament,Black–Filament  < 1.5 mm new,Black–Filament 1.6-3.1 mm,Black–Filament 3.2-5 mm,Black–Filament 5.1-9.6 mm,Black–Other Shape,Black–Other Shape  < 1.5 mm new,Black–Other Shape 1.6-3.1 mm,Black–Other Shape 3.2-5 mm,Black–Other Shape 5.1-9.6 mm,Green–Round  ,Green–Filament,Green–Other Shape,Other Color–Round,Other Color–Round  < 1.5 mm new,Other Color–Round 1.6-3.1 mm ,Other Color–Round 3.2-5 mm,Other Color–Round 5.1-9.6 mm,Other Color–Filament,Other Color–Filament  < 1.5 mm new,Other Color–Filament 1.6-3.1 mm,Other Color–Filament 3.2-5 mm,Other Color–Filament 5.1-9.6 mm,Other Color–Other Shape,Other Color–Other Shape  < 1.5 mm new,Other Color–Other Shape  1.6-3.1 mm,Other Color–Other Shape 3.2-5 mm,Other Color–Other Shape 5.1-9.6 mm,Total Blue,Total Blue <1.5mm,Total Blue 1.6-3.1 mm,Total Blue 3.2-5 mm,Total Blue 5.1-9.6,Total Red,Total Red <1.5 mm,Total Red 1.6-3.1 mm,Total Red 3.2-5 mm,Total Red 5.1-9.6 mm,Total Transparent,Total Transparent <1.5 mm,Total Transparent 1.6-3.1 mm,Total Transparent 3.2-5 mm,Total Transparent 5.1-9.6 mm,Total Black,Total Black <1.5 mm,Total Black  1.6-3.1 mm ,Total Black 3.2-5 mm,Total Black 5.1-9.6 mm,Total Other Color ,Total Other Color <1.5 mm,Total Other Color  1.6-3.1 mm ,Total Other Color  3.2-5 mm,Total Other Color  5.1-9.6 mm,Total Round,Total Filament,Total Other Shape,Total Pieces,Total Pieces/L,Sample Jar Material,Plastic Type,Lab Notes,,,0
838,3/14/2015,2015,13:06,x,46.36944,14.10667,,Shore,Europe,Slovenia,Lake,Urban,Lake Bled in the middle of a small city.,0.2,Yes,"Artificial (concrete channel, etc.)",,1.15,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,6,5.217391304,Plastic,,Examined for FTIR 9Jun2017; removed one <1.5mm transparent fiber.,,,0
860,3/20/2015,2015,14:13,,46.18611,13.47472,,Wading,North America,USA,River,Rural,Shallow river in rural Italy.,0.1,Yes,Gravel (small beetle to tennis ball size),,1.15,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1.666666667,Plastic,,"Heavy silt, debris.  Dead beetles, pieces of bugs.  Grid covered probably missed plastics",,,0
866,3/24/2015,2015,14:16,,46.50639,13.57722,,Other,Europe,Italy,Stream,Urban,"Concrete channel running through small town of Tarvisio, Italy.",0,Yes,"Artificial (concrete channel, etc.)",,1.25,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1.6,Glass,,Examined for FTIR 9Jun2017; removed 1 <1.5mm red filament.,,,0
875,3/24/2015,2015,12:30,,46.47583,13.66972,,Shore,Europe,Italy,Lake,Rural,"High mountain lake with muddy spring water. upper Fusine Lake, Italy.",0.2,Yes,Boulder (car to basketball size),,1.25,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1.6,Plastic,,"Sand, bug pieces. Hard to count",,,0
877,3/25/2015,2015,22:29,,46.04722,14.50556,,Dock/Jetty,Europe,Slovenia,River,Urban,"A dirty looking river/canal running through downtown Ljubljana, Slovenia.",0.2,Yes,"Artificial (concrete channel, etc.)",,1.25,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.6,Plastic,,Examined for FTIR 9Jun2017; removed 1 <1.5mm dark blue filament.,,,0
878,3/25/2015,2015,17:50,,46.43972,13.89611,,Shore,Europe,Slovenia,Stream,Rural,"A rural pool at the base of a waterfall outside Kranjska Gora, Slovenia.",0.1,Yes,Cobbles (tennis ball to basketball size),,1.25,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1.538461538,Plastic,,Other colors-dots/marks on clear plastic,,,0
899,5/1/2015,2015,18:00,x,33.12667,-86.843611,,Wading,North America,USA,Stream,,exposed rock upstream,35,No,Gravel (small beetle to tennis ball size),,1.3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7692307692,Plastic,,Some debris. Examined for FTIR analysis 10Jun2017; removed one <1.5mm black filament.,,,0
902,5/21/2015,2015,8:55,x,46.69807778,-87.49143889,4,Sailboat/Large Vessel,North America,USA,Lake,,,186.233,No,Unknown,,1.25,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,5.384615385,Plastic,1,,,,0
903,5/22/2015,2015,20:05,x,47.12284167,-88.57009167,,Shore,North America,USA,Lake,,Houghton Dock (on bottle),0.6096,Yes,Cobbles (tennis ball to basketball size),,1.25,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7692307692,Plastic,1,heavy detritus; long straight phyto,,,0
904,5/23/2015,2015,15:29,x,47.74928333,-89.154525,4,Sailboat/Large Vessel,North America,USA,Lake,,,192.024,No,Unknown,,1.15,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3.333333333,Plastic,1,,,,0
